               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.026299,           0.0088459,           0.0010031,             0.23299,             0.23723,             0.19086,            0.064109,            0.055672,            0.011728,            0.029152,            0.002674,            0.002674,            0.002674
                  76,            0.026442,            0.008681,          0.00098283,             0.22375,              0.2302,             0.18763,            0.063693,            0.056157,            0.011744,            0.029182,            0.002575,            0.002575,            0.002575
                  77,             0.02575,           0.0096939,           0.0009517,             0.23373,             0.24436,             0.19846,            0.063552,            0.055706,            0.011931,            0.029044,            0.002476,            0.002476,            0.002476
                  78,            0.028266,           0.0097204,           0.0018091,             0.23311,             0.23884,             0.19251,            0.065229,            0.055967,            0.011951,             0.02886,            0.002377,            0.002377,            0.002377
                  79,            0.025183,             0.01097,          0.00094074,             0.22752,             0.24439,             0.19755,            0.063766,            0.055412,             0.01214,            0.028782,            0.002278,            0.002278,            0.002278
                  80,            0.028802,            0.011565,          0.00091596,             0.23582,             0.23845,             0.19434,            0.065349,            0.055663,            0.012111,            0.029159,            0.002179,            0.002179,            0.002179
                  81,             0.02545,           0.0097381,           0.0006938,             0.22492,              0.2436,             0.19746,            0.066159,            0.055288,            0.012222,            0.029004,             0.00208,             0.00208,             0.00208
                  82,              0.0279,            0.011572,           0.0010292,             0.22967,             0.23887,             0.19826,            0.066494,            0.055439,            0.012151,             0.02957,            0.001981,            0.001981,            0.001981
                  83,            0.023512,           0.0093288,          0.00075934,             0.22089,             0.23773,             0.19837,            0.066528,            0.055345,            0.012269,            0.030262,            0.001882,            0.001882,            0.001882
                  84,            0.023835,            0.010731,          0.00094093,             0.21593,             0.24048,             0.19864,            0.063825,            0.055154,            0.012332,            0.030642,            0.001783,            0.001783,            0.001783
                  85,            0.026967,           0.0085137,           0.0016918,             0.21661,             0.24002,             0.19498,            0.067887,            0.055365,            0.012297,            0.030675,            0.001684,            0.001684,            0.001684
                  86,             0.02577,            0.008767,          0.00085627,             0.22287,             0.23377,             0.19859,            0.066846,            0.055437,            0.012294,             0.03123,            0.001585,            0.001585,            0.001585
                  87,            0.024536,           0.0087562,          0.00095604,             0.22441,             0.23374,             0.19473,            0.065904,            0.055397,            0.012337,            0.031287,            0.001486,            0.001486,            0.001486
                  88,            0.025258,           0.0090065,            0.001186,             0.22259,              0.2365,             0.19566,            0.067601,            0.055492,            0.012346,            0.031045,            0.001387,            0.001387,            0.001387
                  89,            0.023188,           0.0092375,          0.00061553,             0.21936,             0.24008,             0.20663,            0.065836,            0.055324,            0.012362,            0.031046,            0.001288,            0.001288,            0.001288
                  90,             0.02589,           0.0097302,          0.00068778,              0.2165,             0.23573,             0.20239,            0.065471,            0.055146,            0.012306,            0.031123,            0.001189,            0.001189,            0.001189
                  91,            0.026869,            0.010065,           0.0010237,             0.22283,             0.23374,             0.19815,            0.069033,            0.055099,            0.012218,            0.030907,             0.00109,             0.00109,             0.00109
                  92,            0.025658,            0.010095,           0.0018917,             0.22753,             0.23588,             0.19968,            0.070446,            0.055076,            0.012195,            0.030876,            0.000991,            0.000991,            0.000991
                  93,            0.026466,            0.010838,          0.00081471,             0.23352,             0.23177,             0.20757,            0.068941,            0.054863,            0.012255,            0.030579,            0.000892,            0.000892,            0.000892
                  94,             0.02368,           0.0089541,          0.00079817,             0.24167,             0.22273,             0.20467,            0.071031,            0.054973,            0.012205,            0.030371,            0.000793,            0.000793,            0.000793
                  95,            0.024274,           0.0095516,          0.00082977,             0.23479,             0.22944,             0.20847,            0.069612,            0.055013,            0.012193,            0.030247,            0.000694,            0.000694,            0.000694
                  96,            0.022949,            0.010955,          0.00072279,             0.24556,             0.22662,             0.20468,            0.068927,            0.055098,            0.012151,            0.030117,            0.000595,            0.000595,            0.000595
                  97,            0.023851,           0.0085189,          0.00061947,             0.24588,             0.22701,             0.20405,            0.068924,            0.055213,            0.012101,            0.030013,            0.000496,            0.000496,            0.000496
                  98,            0.024297,           0.0099815,          0.00071283,             0.24634,             0.22701,             0.20345,            0.069379,            0.055288,            0.012068,            0.029987,            0.000397,            0.000397,            0.000397
                  99,            0.025728,           0.0098477,           0.0013787,             0.24467,             0.22741,             0.20216,             0.07014,            0.055416,            0.012061,            0.030068,            0.000298,            0.000298,            0.000298
